table_name,column_name,data_type,is_nullable,column_default,referenced_table,referenced_column,constraint_name
ent_processes,level,character varying,NO,null,null,null,null
ent_processes,parent_id,character varying,YES,null,ent_processes,id,ent_processes_parent_id_parent_year_fkey
ent_processes,parent_id,character varying,YES,null,ent_processes,year,ent_processes_parent_id_parent_year_fkey
ent_processes,parent_year,integer,YES,null,ent_processes,year,ent_processes_parent_id_parent_year_fkey
ent_processes,parent_year,integer,YES,null,ent_processes,id,ent_processes_parent_id_parent_year_fkey
ent_processes,process_type,character varying,YES,null,null,null,null
ent_processes,maturity_level,integer,YES,null,null,null,null
ent_processes,automated,character varying,YES,null,null,null,null
ent_processes,automation_due,character varying,YES,null,null,null,null
ent_processes,health_status,character varying,YES,null,null,null,null
ent_processes,stage,character varying,YES,null,null,null,null
ent_processes,description,text,YES,null,null,null,null
ent_processes,inputs,text,YES,null,null,null,null
ent_processes,outputs,text,YES,null,null,null,null
ent_projects,id,character varying,NO,null,null,null,null
ent_projects,year,integer,NO,null,null,null,null
ent_projects,quarter,integer,YES,null,null,null,null
ent_projects,name,character varying,YES,null,null,null,null
ent_projects,level,character varying,NO,null,null,null,null
ent_projects,parent_id,character varying,YES,null,ent_projects,id,ent_projects_parent_id_parent_year_fkey
ent_projects,parent_id,character varying,YES,null,ent_projects,year,ent_projects_parent_id_parent_year_fkey
ent_projects,parent_year,integer,YES,null,ent_projects,year,ent_projects_parent_id_parent_year_fkey
ent_projects,parent_year,integer,YES,null,ent_projects,id,ent_projects_parent_id_parent_year_fkey
ent_projects,start_date,date,YES,null,null,null,null
ent_projects,end_date,date,YES,null,null,null,null
ent_projects,status,character varying,YES,null,null,null,null
ent_projects,budget,numeric,YES,null,null,null,null
ent_projects,progress_percentage,numeric,YES,null,null,null,null
ent_risks,id,character varying,NO,null,ent_capabilities,id,ent_risks_id_year_fkey
ent_risks,id,character varying,NO,null,ent_capabilities,year,ent_risks_id_year_fkey
ent_risks,year,integer,NO,null,ent_capabilities,year,ent_risks_id_year_fkey
ent_risks,year,integer,NO,null,ent_capabilities,id,ent_risks_id_year_fkey
ent_risks,quarter,integer,YES,null,null,null,null
ent_risks,name,character varying,YES,null,null,null,null
ent_risks,level,character varying,NO,null,null,null,null
ent_risks,parent_id,character varying,YES,null,ent_risks,year,ent_risks_parent_id_parent_year_fkey
ent_risks,parent_id,character varying,YES,null,ent_risks,id,ent_risks_parent_id_parent_year_fkey
ent_risks,parent_year,integer,YES,null,ent_risks,year,ent_risks_parent_id_parent_year_fkey
ent_risks,parent_year,integer,YES,null,ent_risks,id,ent_risks_parent_id_parent_year_fkey
ent_risks,risk_category,character varying,YES,null,null,null,null
ent_risks,project_outputs_risk,numeric,YES,null,null,null,null
ent_risks,role_gaps_risk,numeric,YES,null,null,null,null
ent_risks,it_systems_risk,numeric,YES,null,null,null,null
ent_risks,project_outputs_persistence,integer,YES,null,null,null,null
ent_risks,role_gaps_persistence,integer,YES,null,null,null,null
ent_risks,it_systems_persistence,integer,YES,null,null,null,null
ent_risks,project_outputs_delay_days,integer,YES,null,null,null,null
ent_risks,role_gaps_delay_days,integer,YES,null,null,null,null
ent_risks,it_systems_delay_days,integer,YES,null,null,null,null
ent_risks,likelihood_of_delay,numeric,YES,null,null,null,null
ent_risks,delay_days,integer,YES,null,null,null,null
ent_risks,risk_score,numeric,YES,null,null,null,null
ent_risks,people_score,numeric,YES,null,null,null,null
ent_risks,process_score,numeric,YES,null,null,null,null
ent_risks,tools_score,numeric,YES,null,null,null,null
ent_risks,operational_health_score,numeric,YES,null,null,null,null
ent_risks,identified_date,date,YES,null,null,null,null
ent_risks,last_review_date,date,YES,null,null,null,null
ent_risks,next_review_date,date,YES,null,null,null,null
ent_risks,risk_status,character varying,YES,null,null,null,null
ent_risks,closure_date,date,YES,null,null,null,null
ent_risks,risk_owner,character varying,YES,null,null,null,null
ent_risks,risk_reviewer,character varying,YES,null,null,null,null
ent_risks,affecting_policy_tools_or_performance,character varying,YES,null,null,null,null
ent_risks,policy_tools_associated,text,YES,null,null,null,null
ent_risks,performance_target_associated,text,YES,null,null,null,null
ent_risks,mitigation_strategy,text,YES,null,null,null,null
ent_risks,risk_description,text,YES,null,null,null,null
ent_risks,kpi,text,YES,null,null,null,null
ent_risks,threshold_red,text,YES,null,null,null,null
